accommodates,bathrooms,bedrooms,host_is_superhost,has_license,has_description,minimum_nights_scaled,is_instant_bookable,is_bathroom_shared,room_type_Hotel room,room_type_Private room,room_type_Shared room,neighbourhood_group_cleansed_Honolulu,neighbourhood_group_cleansed_Kauai,neighbourhood_group_cleansed_Maui,maximum_nights_scaled,neighbourhood_group_1,neighbourhood_group_2,neighbourhood_group_3
8.0,3.0,3.0,0,1,1,-0.045562892236119784,1,0,0,0,0,0,0,0,-1.0346681462518372,0,1,0
6.0,1.0,2.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,-1.1712673143783956,0,0,1
4.0,1.0,0.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-1.1778769515458098,0,1,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,1,1.245656676506034,0,0,1
3.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,1,1.245656676506034,0,0,1
3.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,1,0.9680519154746409,0,0,1
4.0,2.0,2.0,0,0,1,-0.1546908609359157,0,0,0,0,0,0,0,0,-0.4287847392388763,1,0,0
2.0,1.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,1.245656676506034,0,0,1
8.0,2.0,3.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-0.4287847392388763,0,1,0
2.0,1.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,1.245656676506034,0,0,1
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,-1.2021122878263282,0,1,0
6.0,2.0,2.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,1,0,-0.8341758188402756,0,1,0
4.0,1.0,2.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,-1.133812703763049,0,0,1
2.0,1.0,1.0,0,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.2241444117177085,1,0,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,-1.1668608896001196,1,0,0
2.0,1.0,0.0,1,1,1,-0.19106685050251432,0,0,0,1,0,0,0,1,-1.1668608896001196,0,0,1
3.0,1.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-1.2175347745502945,1,0,0
5.0,2.0,2.0,1,1,1,-0.08193888180271842,0,0,0,0,0,1,0,0,-0.4287847392388763,0,0,1
2.0,1.0,0.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,1,-1.1007645179259784,0,0,1
4.0,2.0,1.0,0,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,-1.1007645179259784,0,1,0
8.0,2.0,3.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
4.0,1.0,1.0,0,1,1,-0.19106685050251432,0,0,0,0,0,1,0,0,1.245656676506034,0,1,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,-1.133812703763049,0,0,1
2.0,1.0,1.0,1,1,1,-0.11831487136931705,1,0,0,0,0,0,0,1,1.245656676506034,0,0,1
8.0,3.0,3.0,0,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-1.1007645179259784,1,0,0
2.0,1.0,1.0,1,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-0.9685717745776959,0,1,0
4.0,1.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-1.1778769515458098,0,1,0
3.0,1.0,1.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-1.1007645179259784,1,0,0
6.0,2.0,3.0,0,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.1668608896001196,1,0,0
2.0,1.0,1.0,0,1,1,-0.2638188296357116,0,0,0,1,0,0,0,1,-1.2263476241068467,0,0,0
4.0,2.0,1.0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,0,0.3753877827965082,0,1,0
2.0,1.0,1.0,0,1,1,-0.22744284006911297,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
4.0,2.0,2.0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
2.0,1.0,1.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,1,0,1.245656676506034,0,1,0
4.0,1.0,0.0,0,1,1,-0.2638188296357116,1,0,0,0,0,1,0,0,-0.4287847392388763,0,1,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,0,-0.4287847392388763,0,1,0
2.0,3.0,1.0,0,0,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-1.1668608896001196,1,0,0
2.0,1.0,1.0,1,1,1,-0.08193888180271842,0,0,0,0,0,0,0,0,-1.1712673143783956,0,1,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,1,0,0,0,1,1.245656676506034,0,0,1
4.0,2.0,2.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.014839234749595,0,1,0
6.0,3.0,3.0,1,1,1,-0.11831487136931705,1,0,0,0,0,0,0,1,-1.1007645179259784,0,0,1
6.0,2.0,2.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
10.0,3.0,3.0,0,1,1,-0.1546908609359157,1,0,0,0,0,0,0,0,-1.1690641019892576,0,0,1
3.0,1.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-1.1007645179259784,0,1,0
6.0,1.0,2.0,0,0,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-1.1888930134915,1,0,0
8.0,2.0,2.0,0,1,1,-0.045562892236119784,0,0,0,1,0,1,0,0,-1.2175347745502945,0,0,1
4.0,1.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,1.245656676506034,0,1,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,1,0,0,0,1,1.245656676506034,0,0,1
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,1,0,0,0,1,1.245656676506034,0,0,1
2.0,1.0,1.0,1,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-0.8363790312294136,0,0,1
2.0,1.0,1.0,1,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-1.0346681462518372,0,0,1
3.0,1.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-1.1866898011023619,1,0,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,-1.1558448276544293,0,0,1
4.0,1.0,2.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,0,1.245656676506034,1,0,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-1.1668608896001196,0,1,0
3.0,1.0,0.0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,1,-0.4287847392388763,0,1,0
4.0,1.0,1.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-1.1007645179259784,1,0,0
2.0,1.0,0.0,1,1,1,-0.19106685050251432,1,0,0,0,0,1,0,0,-0.8363790312294136,0,1,0
5.0,2.0,3.0,1,1,1,-0.045562892236119784,0,0,0,0,0,0,1,0,-1.2021122878263282,0,1,0
4.0,3.0,2.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,1.245656676506034,1,0,0
3.0,1.0,0.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
2.0,1.0,0.0,0,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-0.4287847392388763,0,0,1
6.0,2.0,3.0,1,1,1,-0.11831487136931705,0,0,0,0,0,0,0,1,-1.1668608896001196,0,0,1
2.0,1.0,1.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.0346681462518372,0,1,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,0,-1.1007645179259784,0,1,0
5.0,1.0,2.0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,1,-1.1690641019892576,0,1,0
5.0,2.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
8.0,2.0,3.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,1.245656676506034,0,1,0
6.0,2.0,3.0,0,1,0,-0.11831487136931705,0,0,0,0,0,0,1,0,-1.1668608896001196,0,0,1
5.0,1.0,1.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,1,-1.1712673143783956,0,1,0
5.0,1.0,2.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,0,-1.1690641019892576,0,1,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,1.245656676506034,1,0,0
5.0,2.0,2.0,0,1,1,-0.11831487136931705,0,0,0,0,0,0,0,1,-1.1668608896001196,0,1,0
3.0,1.0,1.0,1,1,0,-0.19106685050251432,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
2.0,1.0,1.0,1,1,1,-0.2638188296357116,0,1,0,1,0,0,0,1,-1.2241444117177085,0,0,1
2.0,1.0,0.0,0,1,1,-0.19106685050251432,1,0,0,0,0,1,0,0,-0.4287847392388763,0,1,0
4.0,1.0,1.0,0,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,-1.1712673143783956,1,0,0
3.0,1.0,1.0,1,0,0,-0.19106685050251432,0,0,0,0,0,0,0,0,1.245656676506034,0,0,1
6.0,3.0,2.0,0,1,1,-0.2638188296357116,1,0,0,0,0,1,0,0,1.245656676506034,0,0,1
4.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,-1.0346681462518372,0,1,0
6.0,1.0,2.0,0,1,1,-0.19106685050251432,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
3.0,1.0,2.0,1,1,1,-0.2638188296357116,0,0,0,1,0,0,0,0,-1.2175347745502945,0,1,0
2.0,1.0,1.0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,0,-1.2021122878263282,1,0,0
4.0,2.0,2.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,-1.1866898011023619,0,1,0
6.0,2.0,4.0,0,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-0.8363790312294136,0,0,1
4.0,1.0,1.0,1,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
4.0,2.0,2.0,0,1,1,-0.045562892236119784,0,0,0,0,0,0,0,0,-0.8363790312294136,0,1,0
2.0,1.0,1.0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
2.0,1.0,1.0,0,1,1,-0.1546908609359157,0,0,0,0,0,0,0,1,-1.2175347745502945,0,1,0
4.0,2.0,2.0,0,1,0,0.7910848677956488,0,0,0,0,0,1,0,0,-0.8363790312294136,0,1,0
2.0,1.0,0.0,0,1,1,-0.2638188296357116,1,0,0,0,0,0,0,1,-1.1007645179259784,0,0,1
3.0,1.0,0.0,0,1,1,-0.2638188296357116,1,0,0,0,0,0,0,1,-1.1007645179259784,0,0,1
3.0,1.0,1.0,0,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,-0.4287847392388763,0,0,1
5.0,1.0,2.0,0,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,1.245656676506034,0,0,1
3.0,1.0,0.0,0,1,1,-0.2638188296357116,1,0,0,0,0,0,0,1,-1.1007645179259784,0,0,1
6.0,2.0,3.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,0,1,1.245656676506034,0,0,1
2.0,1.0,1.0,0,0,1,-0.19106685050251432,0,1,0,1,0,0,0,0,0.9702551278637789,1,0,0
4.0,1.0,0.0,1,1,1,0.7547088782290502,0,0,0,0,0,1,0,0,0.08897017220856304,0,1,0
6.0,2.0,2.0,0,0,1,-0.045562892236119784,0,0,0,0,0,0,0,0,-1.2175347745502945,0,1,0
3.0,2.0,1.0,0,1,1,-0.2638188296357116,0,0,0,1,0,0,0,0,-1.1712673143783956,1,0,0
5.0,2.0,2.0,0,1,1,0.7547088782290502,0,0,0,0,0,1,0,0,-0.9685717745776959,0,0,1
5.0,1.0,3.0,1,1,1,-0.045562892236119784,0,0,0,0,0,0,0,0,-1.1007645179259784,1,0,0
4.0,1.0,1.0,0,1,1,-0.19106685050251432,0,0,0,0,0,1,0,0,1.245656676506034,0,1,0
6.0,2.0,2.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.1668608896001196,0,0,1
3.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,1.245656676506034,0,0,1
6.0,2.0,3.0,1,1,1,0.7547088782290502,0,0,0,0,0,1,0,0,0.3753877827965082,0,0,1
2.0,1.0,1.0,0,1,1,-0.22744284006911297,0,1,0,1,0,0,0,0,-1.1866898011023619,1,0,0
2.0,1.0,1.0,1,1,1,-0.11831487136931705,1,0,0,0,0,0,1,0,1.245656676506034,0,0,1
3.0,1.0,1.0,0,1,1,-0.2638188296357116,0,1,0,1,0,0,0,0,-1.1712673143783956,1,0,0
4.0,1.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-1.2021122878263282,0,1,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,1,0,0,0,0,1.245656676506034,1,0,0
4.0,1.0,1.0,0,1,1,-0.22744284006911297,1,0,0,0,0,1,0,0,-1.1668608896001196,0,1,0
4.0,1.0,2.0,1,0,1,0.7910848677956488,0,0,0,0,0,0,0,0,1.245656676506034,1,0,0
2.0,1.0,1.0,1,0,1,-0.22744284006911297,1,0,0,0,0,0,0,0,-0.4287847392388763,1,0,0
6.0,3.0,3.0,0,1,1,6.320235281918642,0,0,0,0,0,0,0,1,0.3753877827965082,0,1,0
3.0,1.0,1.0,0,0,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-0.4287847392388763,0,0,1
3.0,1.0,1.0,1,0,1,0.7910848677956488,0,0,0,0,0,0,0,0,1.245656676506034,1,0,0
4.0,1.0,1.0,1,1,1,0.7547088782290502,0,0,0,0,0,1,0,0,-0.13135106670524094,0,1,0
4.0,1.0,1.0,0,1,1,-0.1546908609359157,1,0,0,0,0,0,0,1,1.245656676506034,0,1,0
3.0,1.0,1.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-1.133812703763049,1,0,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.1668608896001196,0,1,0
16.0,4.0,5.0,1,1,1,-0.1546908609359157,1,0,0,0,0,0,0,0,1.2434534641168957,0,1,0
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
4.0,2.0,2.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,-1.1668608896001196,1,0,0
4.0,2.0,2.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,1.245656676506034,0,1,0
4.0,1.0,0.0,0,1,1,-0.22744284006911297,0,0,0,0,0,1,0,0,-1.1668608896001196,0,1,0
4.0,1.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-0.4287847392388763,0,1,0
2.0,1.0,1.0,0,1,1,-0.22744284006911297,0,0,0,1,0,0,0,0,-1.1866898011023619,1,0,0
2.0,1.0,1.0,0,1,1,-0.22744284006911297,0,0,0,1,0,0,0,0,-1.1866898011023619,1,0,0
8.0,2.0,3.0,0,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.2021122878263282,1,0,0
6.0,1.0,3.0,1,1,0,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.1668608896001196,0,1,0
3.0,1.0,1.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-1.0346681462518372,1,0,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,0,0,0,1,0,0,1,0,-1.1712673143783956,0,1,0
6.0,2.0,2.0,0,1,1,-0.1546908609359157,0,0,0,0,0,0,0,1,0.3753877827965082,0,1,0
2.0,1.0,1.0,0,1,1,-0.19106685050251432,0,0,0,0,0,1,0,0,-1.1007645179259784,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
4.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
4.0,1.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,2.0,3.0,1,1,1,-0.045562892236119784,0,0,0,0,0,0,0,1,-0.8363790312294136,0,1,0
3.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,1,0,0,0,0,1.245656676506034,0,0,1
4.0,2.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
6.0,3.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
4.0,2.0,2.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,1,-1.1668608896001196,0,1,0
4.0,1.0,1.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,1,0,-1.1668608896001196,0,1,0
4.0,1.0,2.0,0,1,1,-0.11831487136931705,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
3.0,1.0,1.0,0,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-1.1007645179259784,0,1,0
8.0,2.0,3.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,1,-0.8143469073380332,0,1,0
2.0,1.0,0.0,1,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-0.8363790312294136,0,0,1
4.0,1.0,2.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.2175347745502945,1,0,0
4.0,2.0,1.0,0,1,1,-0.19106685050251432,0,0,0,0,0,0,0,1,-0.8363790312294136,0,1,0
2.0,1.0,1.0,0,1,1,-0.2638188296357116,0,1,0,1,0,0,0,0,0.3753877827965082,1,0,0
2.0,1.0,1.0,1,1,1,-0.045562892236119784,0,0,0,0,0,0,0,0,1.245656676506034,0,1,0
4.0,2.0,1.0,0,1,1,-0.19106685050251432,0,0,0,0,0,0,0,1,-0.4287847392388763,0,1,0
8.0,2.0,2.0,0,1,1,-0.11831487136931705,0,0,0,0,0,0,0,1,-1.1668608896001196,0,1,0
4.0,1.0,1.0,0,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
2.0,1.0,1.0,1,1,1,-0.11831487136931705,0,0,0,0,0,0,0,1,-0.4287847392388763,0,0,1
14.0,3.0,5.0,0,0,1,0.09994106603027476,0,0,0,0,0,0,0,0,-0.4287847392388763,1,0,0
5.0,1.0,2.0,0,1,1,-0.22744284006911297,0,0,0,0,0,0,1,0,-1.2153315621611565,0,1,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,1,0,0,0,0,-0.4398008011845665,1,0,0
2.0,1.0,0.0,0,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-0.4287847392388763,0,1,0
3.0,1.0,1.0,0,1,1,-0.11831487136931705,0,0,0,0,0,0,0,0,-1.1866898011023619,0,1,0
3.0,1.0,2.0,0,1,1,-0.11831487136931705,1,0,0,0,0,0,0,0,-1.1007645179259784,0,0,1
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,-1.1690641019892576,0,1,0
4.0,2.0,1.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,1,-1.1558448276544293,0,1,0
2.0,1.0,0.0,1,1,1,-0.2638188296357116,1,0,0,0,0,1,0,0,1.245656676506034,0,1,0
6.0,2.0,2.0,1,1,1,-0.22744284006911297,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
4.0,2.0,2.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-1.0677163320889078,0,1,0
2.0,1.0,1.0,0,1,1,-0.22744284006911297,0,0,0,0,0,0,0,1,-1.2109251373828804,0,0,0
6.0,1.0,3.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,0,1,1.2434534641168957,0,0,0
2.0,1.0,1.0,1,1,1,0.7183328886624515,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
4.0,1.0,1.0,0,1,1,6.247483302785445,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
8.0,2.0,3.0,1,1,1,-0.08193888180271842,0,0,0,0,0,0,1,0,-1.1007645179259784,0,0,1
2.0,1.0,0.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,1.245656676506034,1,0,0
4.0,1.0,2.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,-0.4398008011845665,1,0,0
4.0,1.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-1.1668608896001196,0,1,0
2.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,1,0,0,1,0,-1.1712673143783956,0,1,0
3.0,1.0,1.0,0,0,1,-0.2638188296357116,1,0,0,1,0,0,0,0,-0.4287847392388763,0,0,1
4.0,1.0,1.0,0,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,1.245656676506034,0,1,0
2.0,1.0,0.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,1,0,-1.133812703763049,0,0,1
4.0,1.0,0.0,0,1,1,-0.22744284006911297,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
4.0,2.0,2.0,0,1,1,0.4637009616962611,0,0,0,0,0,0,0,0,-0.9685717745776959,0,1,0
6.0,1.0,1.0,1,0,1,-0.22744284006911297,0,0,0,1,0,0,0,0,1.245656676506034,0,0,1
3.0,1.0,0.0,0,1,1,0.7547088782290502,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
3.0,1.0,0.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,1.245656676506034,0,0,1
2.0,1.0,0.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-1.1778769515458098,0,1,0
2.0,1.0,1.0,1,1,1,0.7547088782290502,0,0,0,0,0,1,0,0,-0.5719935445328489,0,0,1
4.0,1.0,1.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,-1.0346681462518372,0,1,0
4.0,2.0,1.0,0,1,1,-0.11831487136931705,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
6.0,1.0,2.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
2.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,0,0,0,1,0,-1.0346681462518372,0,1,0
2.0,1.0,1.0,0,1,1,-0.2638188296357116,1,0,0,0,0,0,1,0,1.245656676506034,0,0,1
2.0,1.0,0.0,0,1,1,-0.22744284006911297,0,0,0,0,0,0,0,0,-1.2021122878263282,0,1,0
2.0,1.0,1.0,1,0,1,-0.045562892236119784,0,0,0,0,0,0,0,0,-1.1007645179259784,1,0,0
1.0,0.6664446223625541,0.0,1,0,1,-0.045562892236119784,0,0,0,0,0,0,0,0,-1.1007645179259784,1,0,0
4.0,1.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,1,0,1.245656676506034,0,0,0
6.0,2.0,2.0,0,1,1,-0.11831487136931705,0,0,0,0,0,0,0,1,-1.0346681462518372,0,1,0
4.0,2.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,1,0,-0.4287847392388763,0,1,0
6.0,2.0,3.0,1,1,1,-0.19106685050251432,0,0,0,0,0,0,0,0,-1.1668608896001196,1,0,0
2.0,1.0,1.0,0,1,1,-0.2638188296357116,1,0,0,1,0,0,0,1,1.245656676506034,0,0,1
6.0,2.0,2.0,1,1,1,-0.19106685050251432,1,0,0,0,0,0,0,0,1.245656676506034,0,1,0
5.0,2.0,2.0,1,1,1,-0.11831487136931705,0,0,0,0,0,0,0,0,1.245656676506034,0,1,0
4.0,1.0,2.0,1,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,-1.0346681462518372,0,0,1
2.0,1.0,0.0,1,1,1,-0.2638188296357116,1,0,0,0,0,1,0,0,-0.4287847392388763,0,1,0
6.0,2.0,2.0,1,1,1,-0.2638188296357116,1,0,0,0,0,1,0,0,1.245656676506034,0,0,1
4.0,1.0,0.0,0,1,1,-0.2638188296357116,1,0,0,0,0,1,0,0,-0.4287847392388763,0,1,0
2.0,1.0,1.0,0,1,1,-0.2638188296357116,0,0,0,1,0,0,0,1,1.245656676506034,0,0,1
2.0,1.0,1.0,0,1,1,-0.2638188296357116,1,0,0,1,0,0,0,1,1.245656676506034,0,0,1
2.0,1.0,1.0,0,1,1,-0.2638188296357116,1,1,0,1,0,0,0,1,-1.1712673143783956,0,0,1
8.0,1.0,3.0,0,0,1,6.247483302785445,0,0,0,0,0,0,0,1,1.245656676506034,0,1,0
6.0,2.0,3.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,1,0,1.245656676506034,0,1,0
2.0,1.0,1.0,0,1,1,-0.19106685050251432,0,0,0,0,0,0,1,0,1.245656676506034,0,0,1
4.0,1.0,1.0,0,1,1,-0.22744284006911297,1,0,0,0,0,0,0,1,1.245656676506034,1,0,0
4.0,2.0,2.0,1,1,1,-0.1546908609359157,0,0,0,0,0,0,0,0,-1.0346681462518372,0,1,0
4.0,1.0,0.0,0,1,1,-0.045562892236119784,0,0,0,0,0,0,0,1,1.245656676506034,0,0,1
4.0,1.0,1.0,0,0,1,-0.22744284006911297,0,0,0,1,0,0,0,0,1.245656676506034,0,1,0
4.0,1.0,1.0,0,1,1,-0.22744284006911297,0,0,0,1,0,0,1,0,1.245656676506034,0,0,1
2.0,1.0,1.0,0,1,1,-0.19106685050251432,1,0,0,0,0,0,0,1,1.245656676506034,1,0,0
4.0,1.0,1.0,0,0,1,6.247483302785445,0,0,0,1,0,0,0,1,1.245656676506034,0,1,0
6.0,2.0,2.0,0,1,1,-0.08193888180271842,0,0,0,0,0,0,1,0,-1.2175347745502945,0,0,1
4.0,1.0,1.0,1,1,1,-0.2638188296357116,1,0,0,0,0,0,0,0,-1.1668608896001196,1,0,0
4.0,1.0,1.0,1,1,1,-0.22744284006911297,1,0,0,0,0,1,0,0,-1.1866898011023619,0,0,1
2.0,1.0,1.0,0,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
2.0,2.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,1,-0.4287847392388763,0,1,0
2.0,1.0,1.0,0,1,1,0.7910848677956488,0,0,0,0,0,1,0,0,1.245656676506034,0,0,1
2.0,1.0,1.0,1,1,1,-0.2638188296357116,0,0,0,0,0,0,0,0,-1.1668608896001196,1,0,0
7.0,2.0,3.0,1,1,1,-0.045562892236119784,1,0,0,0,0,0,0,1,1.245656676506034,0,1,0
4.0,1.0,1.0,0,0,1,0.7910848677956488,0,0,0,1,0,1,0,0,-1.1007645179259784,0,1,0
